Function,Service,Date Grant Awarded,Time Period for Grant,Grant Beneficiary,Beneficiary's registration Number,Purpose of Grant,Amount,Revenue / Capital
Place,Services for Communities,8/14/2014,31/03/15,1ST EDGEHILL & TRRDG SCOUT GROUP        ,Charity No. 306101,Attendance at World Scout Jamboree Japan 2015,1000,Revenue
Place,Services for Communities,5/12/2014,31/03/15,1ST FREMINGTON AIR SCOUTS               ,Charity No. 1036328,Kitchen regeneration project,500,Revenue
Place,Services for Communities,5/12/2014,31/03/15,1ST HOLSWORTHY SCOUT GROUP              ,Charity No. 1014782,Attendance at World Scout Jamboree Japan 2015,400,Revenue
Place,Services for Communities,10/16/2014,31/03/15,1ST SOUTH ZEducation & Learning SCOUT GROUP              ,Charity No. 1058960,Improvements to Scout Centre,1000,Revenue
Place,Services for Communities,7/2/2014,31/03/15,1ST STOKENHAM GUIDES                    ,,for travel cost @ Pax Lodge in London,500,Revenue
Place,Services for Communities,5/19/2014,31/03/15,2ND KINGSBRIDGE GUIDES                  ,,"to purchase tents, gas stove etc ",800,Revenue
Place,Services for Communities,8/14/2014,31/03/15,722 CHIVENOR ATC WELFARE A/C            ,,Purchase sports equipment,500,Revenue
Place,Services for Communities,11/27/2014,31/03/15,ABBEY GATEWAY CLUB                      ,Charity No. 1042553,Venue hire charges,250,Revenue
Place,Services for Communities,5/27/2014,31/03/15,ABBOTSKERSWELL RECREATION ASSCTN        ,,for multi games area,1500,Revenue
Place,Services for Communities,11/20/2014,31/03/15,AGE CONCERN CREDITON                    ,Charity No. 1008497,Memorial Event,400,Revenue
Place,Services for Communities,4/23/2014,31/03/15,AGE WE ARE THE                          ,,to enable young people from Teignmouth area to take a performance to Edinburgh Fringe Festival for transportation costs,300,Revenue
Place,Services for Communities,6/4/2014,31/03/15,AGE WE ARE THE                          ,,for transportation costs to event in Edinburgh,750,Revenue
Place,Services for Communities,7/11/2014,31/03/15,APPLEDORE SINGERS                       ,,New uniforms,1000,Revenue
Place,Services for Communities,6/6/2014,31/03/15,APPLEDORE VILLAGE GREEN GROUP           ,,New swings for play area,1000,Revenue
Place,Services for Communities,6/18/2014,31/03/15,APS FINANCIAL LTD                       ,,Evening memorial to fallen from WW1,500,Revenue
Place,Services for Communities,6/25/2014,31/03/15,ART TREK ILFRACOMBE                     ,,To promote and operate the event,500,Revenue
Place,Services for Communities,7/2/2014,31/03/15,ASSIST TEIGNBRIDGE                      ,Charity No. 1154936,"to provide community support, info & advise",1000,Revenue
Place,Services for Communities,11/14/2014,31/03/15,ATHERINGTON CHILDRENS PLAYING           ,,Provision of car parking area,1000,Revenue
Place,Services for Communities,6/30/2014,31/03/15,AVONWICK & N HUISH COMMUNITY            ,,for public consultation and feasibility study for new hall,450,Revenue
Place,Services for Communities,7/22/2014,31/03/15,AXMOUTH VILLAGE HALL MNGMNT COMM        ,Charity No. 300751,for refurbishment of Village Hall Kitchen ,1000,Revenue
Place,Services for Communities,8/8/2014,31/03/15,BAMPTON SCOUT GROUP                     ,Charity No. 275198,Minibus,1500,Revenue
Place,Services for Communities,4/23/2014,31/03/15,BANK YOUTH PROJECT                      ,Charity No. 1075067,for flood prevention works,2500,Revenue
Place,Services for Communities,11/14/2014,31/03/15,BARNSTAPLE MALE VOICE CHOIR             ,Charity No. 1110602,Promotional banners and music,250,Revenue
Place,Services for Communities,11/20/2014,31/03/15,BARNSTAPLE SWIMMING CLUB                ,,Coaching courses for teachers,250,Revenue
Place,Services for Communities,11/20/2014,31/03/15,BARNSTAPLE SWIMMING CLUB                ,,Coaching courses for teachers,250,Revenue
Place,Services for Communities,5/16/2014,31/03/15,BAY FM RADIO                            ,,"for promotional merchandise to promote events in Exmouth, incl Tour of Britain, Exmouth Festivals etc",1500,Revenue
Place,Services for Communities,8/15/2014,31/03/15,BAY FM RADIO                            ,,Outside Broadcast Equipment,600,Revenue
Place,Services for Communities,5/19/2014,31/03/15,BEER VILLAGE HERITAGE LTD               ,Company No. 03857838,for printing of 2 leaflets for self guided walks,336,Revenue
Place,Services for Communities,11/24/2014,31/03/15,BEESANDS FOOTBALL CLUB                  ,,for development of youth team ,500,Revenue
Place,Services for Communities,11/28/2014,31/03/15,BELSTONE CRICKET CLUB                   ,,New equipment for the club,638.42,Revenue
Place,Services for Communities,5/22/2014,31/03/15,BIDEFORD A F C YOUTH                    ,,Hire of training pitch for youth team,1600,Revenue
Place,Services for Communities,8/7/2014,31/03/15,BIDEFORD A F C YOUTH                    ,,Developing an integrated Reserves and Academy (youth) Club,3800,Revenue
Place,Services for Communities,6/6/2014,31/03/15,BIDEFORD CRICKET CLUB                   ,,Purchase a defibrillator and first aid equipment,1000,Revenue
Place,Services for Communities,9/23/2014,31/03/15,BIDEFORD LITTLEHAM & WESTWARD HO        ,,Transporter for wicket cover / new cooker for club kitchen,1199,Revenue
Place,Services for Communities,7/4/2014,31/03/15,BISHOPSTEIGNTON COMMUNITY CENTRE        ,,to replace rotten door frame & window in kitchen,300,Revenue
Place,Services for Communities,11/18/2014,31/03/15,BLOOMING BICTON STREET                  ,,require bank details - awaiting further info 11.11.14,300,Revenue
Place,Services for Communities,4/23/2014,31/03/15,BOVEY COMMUNITY CARE                    ,Charity No. 1157919,"to provide support for lonely, vulnerable adults ",500,Revenue
Place,Services for Communities,8/15/2014,31/03/15,BOVEY TRACEY AFC                        ,,Clubhouse Roof,2000,Revenue
Place,Services for Communities,5/12/2014,31/03/15,BRAUNTON MUSEUM                         ,Charity No. 1010422,Replacement stairlift,1000,Revenue
Place,Services for Communities,5/27/2014,31/03/15,BRENT ISLAND TRUST                      ,Charity No. 1041415,for footbridge repairs,500,Revenue
Place,Services for Communities,5/19/2014,31/03/15,BRIDFORD VILLAGE HALL                   ,Charity No. 300782,for fire doors and repairs to ceiling ,1000,Revenue
Place,Services for Communities,5/19/2014,31/03/15,BROADCLYST VICTORY HALL                 ,Charity No. 300784,for installation of acoustic doors ,1000,Revenue
Place,Services for Communities,4/23/2014,31/03/15,BUCKFASTLEIGH YOUTH CLUB BUILDGS        ,Charity No. 1085584,for repairs to leaking roof,2500,Revenue
Place,Services for Communities,8/28/2014,31/03/15,BUCKLAND BREWER HISTORY GROUP           ,,WW1 Commemoration events,375,Revenue
Place,Services for Communities,6/25/2014,31/03/15,BUCKS CROSS VILLAGE HALL MAN CTT        ,Charity No. 1126677,Replacement wall heaters/Community IT training,612,Revenue
Place,Services for Communities,6/23/2014,31/03/15,BUDLEIGH IN BLOOM                       ,,for investigation into finding stand pipe to water plants,750,Revenue
Place,Services for Communities,5/19/2014,31/03/15,BUDLEIGH IN BUSINESS ORG.UK             ,,for erection of 4 aluminium maps of Budleigh Town showing facilities,375,Revenue
Place,Services for Communities,5/19/2014,31/03/15,BUDLEIGH SALTERTON ARTS CENTRE          ,,for touch screen computer for environment room,1000,Revenue
Place,Services for Communities,8/27/2014,31/03/15,BUDLEIGH SALTERTON LITERARY FSTV        ,Charity No. 1127885,for projection screen hire ,500,Revenue
Place,Services for Communities,8/29/2014,31/03/15,BUTTERLEIGH HARVEST HOME                ,,Harvest home community event,500,Revenue
Place,Services for Communities,8/29/2014,31/03/15,BUTTERLEIGH VILLAGE HALL                ,Charity No. 300786,Community social events and education,1000,Revenue
Place,Services for Communities,10/16/2014,31/03/15,BYES PRE-SCHOOL                         ,Charity No. 1023653,Sidford Wildlife Garden Project,400,Revenue
Place,Services for Communities,6/17/2014,31/03/15,CHAGFORD EDU & LEISURE TRUST            ,Charity No. 1070244,to hold events & activities to increase membership,500,Revenue
Place,Services for Communities,6/17/2014,31/03/15,CHAGFORD FILM FESTIVAL                  ,,Vintage Mobile Bus Screenings/historical Tour,500,Revenue
Place,Services for Communities,9/23/2014,31/03/15,CHARDSTOCK HISTORICAL RECORD GRP        ,,to scan fragile book ,300,Revenue
Place,Services for Communities,8/12/2014,31/03/15,CHAWLEIGH DEFIBRILLATOR GROUP           ,,Defibrillator fund,400,Revenue
Place,Services for Communities,8/8/2014,31/03/15,CHEVITHORNE VILLAGE HALL COMMTTE        ,Charity No. 200942,War Memorial repair,346.2,Revenue
Place,Services for Communities,6/4/2014,31/03/15,CHILDRENS HOSPICE SOUTH WEST            ,Charity No. 1003314,for sensory soft play equipment ,350,Revenue
Place,Services for Communities,6/4/2014,31/03/15,CHILDRENS HOSPICE SOUTH WEST            ,Charity No. 1003314,for sensory soft play equipment ,500,Revenue
Place,Services for Communities,6/4/2014,31/03/15,CHILDRENS HOSPICE SOUTH WEST            ,Charity No. 1003314,for sensory soft play equipment ,160,Revenue
Place,Services for Communities,6/20/2014,31/03/15,CHILDRENS HOSPICE SOUTH WEST            ,Charity No. 1003314,for sensory soft play equipment,500,Revenue
Place,Services for Communities,7/11/2014,31/03/15,CHILDRENS HOSPICE SOUTH WEST            ,Charity No. 1003314,Equipment for sensory soft play facility,250,Revenue
Place,Services for Communities,7/11/2014,31/03/15,CHILDRENS HOSPICE SOUTH WEST            ,Charity No. 1003314,Equipment for sensory soft play facility,250,Revenue
Place,Services for Communities,7/11/2014,31/03/15,CHILDRENS HOSPICE SOUTH WEST            ,Charity No. 1003314,Equipment for sensory soft play facility,500,Revenue
Place,Services for Communities,6/20/2014,31/03/15,CHILLINGTON COMMUNITY ASSOCIATIO        ,Charity No. 1000070,to purchase table tennis table,350,Revenue
Place,Services for Communities,5/23/2014,31/03/15,CHULMLEIGH RECREATIONAL ASSOC           ,Charity No. 1134758,SMART Club bus service to  Chulmleigh Sports Centre,1000,Revenue
Place,Services for Communities,9/24/2014,31/03/15,CHURCHES HOUSING ACTION TEAM            ,Charity No. 1049478,Crediton Tenancy Support Service,700,Revenue
Place,Services for Communities,10/3/2014,31/03/15,CHURCHES HOUSING ACTION TEAM            ,Charity No. 1049478,Interview room conversion,1000,Revenue
Place,Services for Communities,10/3/2014,31/03/15,CLARITY                                 ,Charity No. 210794,Individual counselling and group support sessions,250,Revenue
Place,Services for Communities,10/3/2014,31/03/15,CLARITY                                 ,Charity No. 210794,Individual counselling and group support sessions,250,Revenue
Place,Services for Communities,4/23/2014,31/03/15,CLIFF HOUSE TRUST LTD                   ,Charity No. 1146359,for refurbishment of ladies toilets,1000,Revenue
Place,Services for Communities,9/3/2014,31/03/15,CLOVELLY PILOT GIG CLUB                 ,,2 defibrillators for Clovelly High St and Harbour,1500,Revenue
Place,Services for Communities,8/8/2014,31/03/15,COFFINSWELL & DACCOMBE EVENTS CO        ,,to record the lives of villagers over the recent decades with photos to make into a booklet and DVD.,200,Revenue
Place,Services for Communities,6/25/2014,31/03/15,COLDRIDGE VILLAGE HALL COMM             ,Charity No. 300799,Purchase of a HD Projector,245,Revenue
Place,Services for Communities,8/14/2014,31/03/15,COMMUNITY AID - SHEBBEAR                ,,Community access defibrillator,300,Revenue
Place,Services for Communities,4/22/2014,31/03/15,COPPLESTONE PARENT TEACHER ASSCN        ,Charity No. 1050606,Last night at the Proms concert-marquee hire,435,Revenue
Place,Services for Communities,4/29/2014,31/03/15,CREDITON ARTS CENTRE                    ,Charity No. 1155513,Music Market Busk It!,250,Revenue
Place,Services for Communities,4/22/2014,31/03/15,CREDITON DEMENTIA ACTION ALLNCE         ,Charity No. 1147346,Power point projector (c/frwd),255,Revenue
Place,Services for Communities,4/22/2014,31/03/15,CREDITON RUGBY CLUB                     ,,Flood lighting on training pitch,500,Revenue
Place,Services for Communities,9/24/2014,31/03/15,CULLOMPTON DISABILITY ACTION GRP        ,,Activities for disability group,450,Revenue
Place,Services for Communities,6/25/2014,31/03/15,CULLOMPTON SCOUT GROUP                  ,Charity No. 301040,Camp and Sports equipment,500,Revenue
Place,Services for Communities,11/26/2014,31/03/15,CULLOMPTON ST ANDREWS P C C             ,,Food Bank,500,Revenue
Place,Services for Communities,6/25/2014,31/03/15,CULLOMPTON STREET PASTORS               ,Charity No. 1127204,Cullompton Street Pastors,500,Revenue
Place,Services for Communities,11/14/2014,31/03/15,DANCE IN DEVON                          ,Charity No. 1132898,to create a film of art project with Dawlish Community ,250,Revenue
Place,Services for Communities,11/3/2014,31/03/15,DART MUSIC FESTIVAL FOUNDATION          ,Charity No. 1141813,for instruments for schools,500,Revenue
Place,Services for Communities,6/4/2014,31/03/15,DARTINGTON & TOTNES CRICKET CLUB        ,,for replacement nets & all weather pitch ,1000,Revenue
Place,Services for Communities,11/21/2014,31/03/15,DARTINGTON VILLAGE HALL ASSOCTN         ,,for disabled access and extension ,1000,Revenue
Place,Services for Communities,7/11/2014,31/03/15,DARTMOOR FOLK FESTIVAL ASSC             ,,support for a children's workshop in traditional dance & entertainment,300,Revenue
Place,Services for Communities,8/15/2014,31/03/15,DARTMOUTH & DISTRICT FOOD BANK          ,,To Purchase Freezer,129,Revenue
Place,Services for Communities,7/2/2014,31/03/15,DARTMOUTH & DISTRICT FRIENDS            ,Charity No. 1003314,for annual event with workshops,208,Revenue
Place,Services for Communities,4/23/2014,31/03/15,DARTMOUTH AMATEUR ROWING CLUB           ,,for new safety boat,1000,Revenue
Place,Services for Communities,5/23/2014,31/03/15,DARTMOUTH CARING                        ,Charity No. 900226,for continuation of Thursday Lunch Club for elderly and vulnerable,1000,Revenue
Place,Services for Communities,8/27/2014,31/03/15,DARTMOUTH FOOTBALL CLUB                 ,, for purchase of Grass cutting machine - ,500,Revenue
Place,Services for Communities,4/23/2014,31/03/15,DARTMOUTH GREEN PARTNERSHIPS            ,,"for new community greenhouse, composting, planting etc",1000,Revenue
Place,Services for Communities,6/20/2014,31/03/15,DARTMOUTH GREEN PARTNERSHIPS            ,,for additional funding for planting and equipment,1000,Revenue
Place,Services for Communities,4/23/2014,31/03/15,DARTMOUTH OUTDOOR SWIMMING POOL         ,Charity No. 1049536,"for refitting outside with wood cladding, new doors",500,Revenue
Place,Services for Communities,7/2/2014,31/03/15,DARTMOUTH SEA CADET UNIT                ,Charity No. 274711,for portable PA system for events,250,Revenue
Place,Services for Communities,4/23/2014,31/03/15,DARTMOUTH YACHT CLUB                    ,Company No. 848962,for junior sailing bursaries for disadvantaged children,700,Revenue
Place,Services for Communities,7/2/2014,31/03/15,DAWLISH ACTION FOR YOUTH                ,Charity No. 1071198,for Junior Youth Club ,1000,Revenue
Place,Services for Communities,11/4/2014,31/03/15,DAWLISH AGE CONCERN                     ,Charity No. 208651,to assist with transport cost ,250,Revenue
Place,Services for Communities,8/29/2014,31/03/15,DAWLISH AIR SHOW                        ,,to help promote free fun day & air show and encourage people to Dawlish ,500,Revenue
Place,Services for Communities,6/19/2014,31/03/15,DAWLISH ARTS FESTIVAL                   ,,for publicity of event,250,Revenue
Place,Services for Communities,9/19/2014,31/03/15,DAWLISH LEARNING PARTNERSHIP            ,,for music to support communication in early years ,260,Revenue
Place,Services for Communities,5/23/2014,31/03/15,DAWLISH TRIATHLON GROUP                 ,,to promote Dawlish & for road restrictions,500,Revenue
Place,Services for Communities,4/23/2014,31/03/15,DEMENTIA FRIENDLY PARISHES / YLM        ,,for dementia awareness sessions,1000,Revenue
Place,Services for Communities,5/16/2014,31/03/15,DEVON CAROUSEL PROJECT                  ,,Carousel in Residence' project,1500,Revenue
Place,Services for Communities,9/23/2014,31/03/15,DEVON COMMUNITY HOUSING                 ,Charity No. 1077713,for purchase a computer for communal lounge,500,Revenue
Place,Services for Communities,9/15/2014,31/03/15,DEVON DEVELOPMENT EDUCATION             ,1102233,FAIRTRADE DEVON                         ,2000,Revenue
Place,Services for Communities,6/16/2014,June'14,DEVON LIONS                             ,,Addressing homophobia in sport                 ,625,Revenue
Place,Services for Communities,8/13/2014,November 2014,DEVON RAPE CRISIS SERVICE LTD           ,1144548,EMPOWER WORKSHOP                        ,780,Revenue
Place,Services for Communities,4/22/2014,31/03/15,DOWN ST MARY COMMUNITY HALL             ,Charity No. 300817,Refurbishment,1000,Revenue
Place,Services for Communities,5/27/2014,31/03/15,EAGLES ACROBATICS                       ,,for transportation costs to Gymnastic Festival ,800,Revenue
Place,Services for Communities,4/23/2014,31/03/15,EAST TEIGNBRIDGE C T A                  ,Charity No. 1060175,to provide transport for the frail and elderly ,1000,Revenue
Place,Services for Communities,4/23/2014,31/03/15,EGREMONT TRUST (SALCOMBE)               ,Charity No. 1146558,for repairs to storm damage to boats which are used for children's education ,500,Revenue
Place,Services for Communities,5/23/2014,31/03/15,ELLERHAYES ALLOTMENT ASSOCIATION        ,Company No. 6512423,Communal Storage Unit,400,Revenue
Place,Services for Communities,11/14/2014,31/03/15,EVENTS 4 ILFRACOMBE                     ,,Decorative lighting for Fore St and webcams for Harbour,1300,Revenue
Place,Services for Communities,3/28/2014,31 May to 1 June 2014,EXETER RESPECT                          ,Company No. 08725612,FESTIVAL GRANT                          ,800,Revenue
Place,Services for Communities,11/5/2014,31/03/15,EXETER YOUTH RUGBY LTD                  ,Company No. 05785025,for septic tank for site ,1000,Revenue
Place,Services for Communities,7/2/2014,31/03/15,EXMINSTER YOUTH CLUB                    ,Charity No. 1119541,to provide specialist sport activity provider to teach new pursuits,250,Revenue
Place,Services for Communities,5/16/2014,31/03/15,EXMOUTH & BUDLEIGH SALTERTON            ,Charity No. 301044,for Summer Camp 2015 - for transportation costs ,500,Revenue
Place,Services for Communities,11/14/2014,31/03/15,EXMOUTH AND DISTRICT U 3 A              ,Charity No. 288007,for purchase of audio visual equipment,2500,Revenue
Place,Services for Communities,4/23/2014,31/03/15,EXMOUTH ARCHERS                         ,,for defibrillator,250,Revenue
Place,Services for Communities,8/14/2014,31/03/15,EXMOUTH BEACH RESCUE CLUB               ,Charity No. 1025654,Provision of additional training boards,1000,Revenue
Place,Services for Communities,10/9/2014,31/03/15,EXMOUTH BEACH RESCUE CLUB               ,Charity No. 1025654,Equipment for First Aid treatment area,2000,Revenue
Place,Services for Communities,10/16/2014,31/03/15,EXMOUTH CHRISTMAS LIGHTS                ,,Rental of Christmas Lights,500,Revenue
Place,Services for Communities,10/17/2014,31/03/15,EXMOUTH CHRISTMAS LIGHTS                ,,for the rental of Christmas Lights ,500,Revenue
Place,Services for Communities,10/10/2014,31/03/15,EXMOUTH GATEWAY CLUB                    ,Charity No. 1145306,Respite breaks for members,1000,Revenue
Place,Services for Communities,4/23/2014,31/03/15,EXMOUTH IN BLOOM                        ,,to enhance floral displays in and around the Town Centre,500,Revenue
Place,Services for Communities,10/9/2014,31/03/15,EXMOUTH LIGHT ORCHESTRA                 ,Charity no.1152790,Provision of affordable brass instrument tuition in schools,2500,Revenue
Place,Services for Communities,11/14/2014,31/03/15,EXMOUTH SEA CADET CORPS                 ,Charity No. 300830,for new building appEducation & Learning ,1500,Revenue
Place,Services for Communities,6/2/2014,31/03/15,FALCONS GYMNASTICS ACADEMY              ,,Transport costs for team to attend Presidential Classic competition,3800,Revenue
Place,Services for Communities,6/2/2014,31/03/15,FOOTBALL IN THE COMMUNITY(P'MTH)        ,,for sponsorship for Girls to attend Gothia Cup for transportation costs ,450,Revenue
Place,Services for Communities,5/19/2014,31/03/15,FORCES VETERANS FOR VETERANS            ,,"for advertising, training & venue costs",1000,Revenue
Place,Services for Communities,11/13/2014,31/03/15,FORCHES CROSS COMMUNITY ASSOCN          ,,Busy Bees holiday club ,400,Revenue
Place,Services for Communities,5/23/2014,31/03/15,FREMINGTON YOUTH FC                     ,,"Moveable, folding, youth size goals",500,Revenue
Place,Services for Communities,11/14/2014,31/03/15,FRIENDS OF ERME PRIMARY SCHOOL          ,Charity No. 1053869,for development of outdoor area,700,Revenue
Place,Services for Communities,6/4/2014,31/03/15,FRIENDS OF KINGSKERSWELL LIBRARY        ,,for printing posters ,250,Revenue
Place,Services for Communities,7/11/2014,31/03/15,FRIENDS OF OKEHAMPTON LIBRARY           ,,to provide monthly storytime sessions using Duplo,200,Revenue
Place,Services for Communities,11/21/2014,31/03/15,FRIENDS OF OUR PERFORMANCE SPACE        ,,for funding advertising of concert ,300,Revenue
Place,Services for Communities,4/23/2014,31/03/15,FRIENDS OF POLTIMORE CHURCH             ,,for replacement curtain for WW1 commemorative exhibition,1000,Revenue
Place,Services for Communities,8/28/2014,31/03/15,FRIENDS OF WOOLSERY SCHOOL              ,Charity No. 1019797,WW1 Commemoration events,1800,Revenue
Place,Services for Communities,7/31/2014,31/03/15,GEORGEHAM PARISH CLOCK APPEducation & Learning           ,,Maps for WWI Memory Walk,250,Revenue
Place,Services for Communities,6/20/2014,31/03/15,GOTHIA FUNDRAISING GROUP                ,,for transportation costs for under 14's football team,1000,Revenue
Place,Services for Communities,4/23/2014,31/03/15,GREEN HILL ARTS                         ,,for Green Hill arts for an exhibition of ' The Range' ,250,Revenue
Place,Services for Communities,4/23/2014,31/03/15,HAND IN HAND                            ,,for coffee morning for local residents ,50,Revenue
Place,Services for Communities,9/19/2014,31/03/15,HANNAH'S AT SEducation & LearningE HAYNE                 ,Charity No. 306948,for Beer & Music festival ,75,Revenue
Place,Services for Communities,9/19/2014,31/03/15,HANNAH'S AT SEducation & LearningE HAYNE                 ,Charity No. 306948,for Beer & Music Festival ,75,Revenue
Place,Services for Communities,11/24/2014,31/03/15,HATHERLEIGH FESTIVAL                    ,,Workshops project ,750,Revenue
Place,Services for Communities,10/9/2014,31/03/15,HAWKCHURCH VILLAGE HALL MANG COM        ,Charity No. 300852,Renovation of kitchen to improve Hall facilities,1000,Revenue
Place,Services for Communities,5/23/2014,31/03/15,HEART OF DEVON                          ,,Celebrating Cicely,400,Revenue
Place,Services for Communities,5/29/2014,31/03/15,HOLSWORTHY FAMILY WORKSHOP              ,,Creative workshops for the community,200,Revenue
Place,Services for Communities,6/20/2014,31/03/15,HOMELESS IN TEIGNBRIDGE SUPPORT         ,Charity No. 1146610,to assist with purchase of vehicle to collect & distribute Foodbank deliveries,2000,Revenue
Place,Services for Communities,10/3/2014,31/03/15,HOMELESS IN TEIGNBRIDGE SUPPORT         ,Charity No. 1146610,Household/moving in packs for Foodbank,1000,Revenue
Place,Services for Communities,6/25/2014,31/03/15,HONITON CRICKET CLUB                    ,,for new mower ,1000,Revenue
Place,Services for Communities,10/10/2014,31/03/15,HORRABRIDGE SCOUT GROUP                 ,Charity No. 1137266,Scout Store Build,2000,Revenue
Place,Services for Communities,4/17/2014,31/03/15,HORRABRIDGE TWINNING ASSOCIATION        ,,Frent families to visit Horrabridge,1295,Revenue
Place,Services for Communities,9/23/2014,31/03/15,IDE RUGBY FOOTBALL CLUB                 ,,for equipment and kit ,75,Revenue
Place,Services for Communities,8/27/2014,31/03/15,IDEFORD MILLENIUM GREEN TRUST           ,,for purchase of hedge trimmer & safety equipment,500,Revenue
Place,Services for Communities,9/23/2014,31/03/15,ILFRACOMBE & DIST COMM PANEL            ,,Safety signs for Ilfracombe Infant and Junior schools,289,Revenue
Place,Services for Communities,5/29/2014,31/03/15,ILFRACOMBE & DISTRICT C T A             ,Charity No. 279975,Replacement of main doors ,300,Revenue
Place,Services for Communities,10/23/2014,31/03/15,ILFRACOMBE & DISTRICT C T A             ,Charity No. 279975,"Late night minibus service, Woolacombe and Mortehoe to Ilfracombe",250,Revenue
Place,Services for Communities,10/23/2014,31/03/15,ILFRACOMBE & DISTRICT C T A             ,Charity No. 279975,"Late night minibus service, Woolacombe and Mortehoe to Ilfracombe",500,Revenue
Place,Services for Communities,5/12/2014,31/03/15,ILFRACOMBE HIGH STREET TRADERS          ,,Christmas lights and celebrations 2014,1000,Revenue
Place,Services for Communities,6/25/2014,31/03/15,ILFRACOMBE PILOT GIG CLUB               ,,New oars needed due to demand for rowing,500,Revenue
Place,Services for Communities,4/29/2014,31/03/15,INTERCOM TRUST                          ,1072772,"HELP, SUPPORT & AVDVOCY SERVICE - LGB&T                       ",10000,Revenue
Place,Services for Communities,7/22/2014,31/03/15,INTERCOM TRUST                          ,1072772,HELP SUPPORT & ADVOCACY SERVICE          ,2500,Revenue
Place,Services for Communities,9/26/2014,31/03/15,INVOLVE                                 ,Charity No. 298345,DEVA Integrated Annual Conference,90,Revenue
Place,Services for Communities,5/27/2014,31/03/15,IPPLEPEN VILLAGE HALL                   ,Charity No. 300875,for phase 2 extension of kitchen & side of hall,2000,Revenue
Place,Services for Communities,4/23/2014,31/03/15,IVYBRIDGE DEMENTIA & TOTAL COMM         ,,for dementia and communication awareness workshops,470,Revenue
Place,Services for Communities,4/23/2014,31/03/15,IVYBRIDGE MILL ARCHIVES GROUP           ,,to establish a permanent record of the social and economic history of the Mill,500,Revenue
Place,Services for Communities,7/4/2014,31/03/15,IVYBRIDGE RAIL USERS GROUP              ,,to assist with printing costs of 4 page local magazine,200,Revenue
Place,Services for Communities,5/2/2014,31/03/15,IVYBRIDGE WALKING CLUB                  ,,"for community banners, publicity materials etc ",250,Revenue
Place,Services for Communities,4/23/2014,31/03/15,IVYBRIDGE YOUTH FOR CHRIST              ,Charity No. 1118117,"for Fort Rocky Residential weekend for 11-14 yr olds , activities etc",500,Revenue
Place,Services for Communities,8/8/2014,31/03/15,KENNERLEIGH COMMUNITY SHOP              ,,Recruitment and Training,500,Revenue
Place,Services for Communities,6/25/2014,31/03/15,KENTISBEARE CRICKET CLUB                ,,Youth & Women's Development,1000,Revenue
Place,Services for Communities,4/22/2014,31/03/15,KENTISBEARE JUNIOR CYCLING CLUB         ,,"Venue hire, insurance etc",250,Revenue
Place,Services for Communities,8/15/2014,31/03/15,KENTISBEARE PERFORMING ARTS             ,,Social Media devized theatre project,200,Revenue
Place,Services for Communities,8/18/2014,31/03/15,KENTISBEARE VILLAGE HALL                ,Charity No. 1052482,Hall refurbishments,2200,Revenue
Place,Services for Communities,6/4/2014,31/03/15,KILMINGTON PRE-SCHOOL (FUNDRSNG)        ,Charity No. 1027578,for outside play equipment,287.88,Revenue
Place,Services for Communities,5/27/2014,31/03/15,KINGSBRIDGE & SALCOMBE HOCKEY CL        ,,for intensive team coaching by England level hockey coach,1000,Revenue
Place,Services for Communities,9/18/2014,31/03/15,KINGSBRIDGE & SALCOMBE HOCKEY CL        ,,for pitch hire ,1000,Revenue
Place,Services for Communities,9/23/2014,31/03/15,KINGSBRIDGE RUGBY FOOTBALL CLUB         ,,for additional parking area ,1000,Revenue
Place,Services for Communities,5/27/2014,31/03/15,KINGSBRIDGE SHOW                        ,,to update Kingsbridge Show HEducation & Learningth & Safety Policy,500,Revenue
Place,Services for Communities,5/27/2014,31/03/15,KINGSBRIDGE SHOW                        ,,to update Kingsbridge Show HEducation & Learningth & Safety Policy ,500,Revenue
Place,Services for Communities,8/19/2014,31/03/15,KINGSKERSWELL U K NAVIGATORS            ,,Children's fun Day,250,Revenue
Place,Services for Communities,11/14/2014,31/03/15,KINGSKERSWELL VILLAGE HALL              ,Charity No. 1080516,for structural report on village roof ,180,Revenue
Place,Services for Communities,11/6/2014,31/03/15,KINGSTEIGNTON A F C                     ,,for upgrade of showers ,600,Revenue
Place,Services for Communities,7/16/2014,31/03/15,KINGSTEIGNTON BUSINESS GROUP            ,,for advertising the group,400,Revenue
Place,Services for Communities,11/20/2014,31/03/15,KIRTON YOUTH SQUASH CLUB                ,,Professional coaching,420,Revenue
Place,Services for Communities,8/8/2014,31/03/15,LAPFORD ASSOCIATED FOOTBALL CLUB        ,,New windows and doors,500,Revenue
Place,Services for Communities,4/22/2014,31/03/15,LAPFORD YOUTH & PLAYING FLD TRST        ,Charity No. 306070,New play equipment ,1000,Revenue
Place,Services for Communities,8/15/2014,31/03/15,LEUSDON MEMORIAL HALL                   ,Charity No. 300887,Oil Tank replacement,1200,Revenue
Place,Services for Communities,5/19/2014,31/03/15,LITTLEHAM'S ASSOC RESIDENTS&FRND        ,,for marquee for Littleham Country Fayre,400,Revenue
Place,Services for Communities,7/7/2014,31/03/15,LIVING OPTIONS DEVON                    ,1102489,DEAF PROJECT-BSL version of magazine                        ,1700,Revenue
